threshold,precision,recall,f1,false_positives,false_negatives,cost
0.1,0.8252427184466019,0.8673469387755102,0.845771144278607,18,13,83
0.15,0.8383838383838383,0.8469387755102041,0.8426395939086294,16,15,91
0.2,0.8526315789473684,0.826530612244898,0.8393782383419689,14,17,99
0.25,0.8617021276595744,0.826530612244898,0.84375,13,17,98
0.3,0.8709677419354839,0.826530612244898,0.8481675392670157,12,17,97
0.35,0.8709677419354839,0.826530612244898,0.8481675392670157,12,17,97
0.4,0.8791208791208791,0.8163265306122449,0.8465608465608465,11,18,101
0.45,0.8888888888888888,0.8163265306122449,0.851063829787234,10,18,100
0.5,0.8876404494382022,0.8061224489795918,0.8449197860962567,10,19,105
0.55,0.9080459770114943,0.8061224489795918,0.8540540540540541,8,19,103
0.6,0.9294117647058824,0.8061224489795918,0.8633879781420765,6,19,101
0.65,0.9518072289156626,0.8061224489795918,0.8729281767955801,4,19,99
0.7,0.9518072289156626,0.8061224489795918,0.8729281767955801,4,19,99
